,Access Number,Azimuth,Elevation,Time,C/No,Eb/No,BER,Range,EIRP,Free Space Loss,Xmtr Elevation,Xmtr Azimuth,Xmtr Gain,Xmtr Power,Rcvd. Iso. Power,Carrier Power at Rcvr Input,x,y,z,xVel,yVel,zVel,RelSpeed,Lat,Lon,Alt,Antenna Azimuth,Antenna Elevation
10,9,150.1248539301906,30.413958566286496,22 Jun 2025 10:19:54.000000000,30.933152020759135,27.922852064119322,1e-30,1123.804474004932,21.90263890335411,179.56862574566574,4.608541660944497,163.96688160249968,-8.097361096645892,30.0,-157.66598684231167,-157.66598684231167,5471.761246062681,601.063735427903,-4334.411965418034,4.7068847378427146,-0.8075502502462544,5.833401285231065,7.538930421256381,24.038423608054835,117.14209354835035,625.3641123554826,146.9787202879741,34.17856529639717
11,9,145.49295067359756,36.653765556773706,22 Jun 2025 10:20:19.000000000,21.797153956240876,18.78685399960106,1e-30,989.3180865439224,11.659544680933315,178.4615295877632,5.785886124904447,167.92371193914673,-18.340455319066685,30.0,-166.8019849068299,-166.8019849068299,5587.43792266741,580.6601068186218,-4187.024813910237,4.546843474600276,-0.824652211706759,5.957050373723326,7.539249697938462,22.504761580353247,116.78699061356848,625.167360470816,140.83332626640265,41.16516416154088
12,9,138.33967097677743,44.14755744320228,22 Jun 2025 10:20:44.000000000,21.886866209989755,18.876566253349942,1e-30,871.7086593745115,10.649965161717663,177.36223781479868,7.2351976322304195,173.4327528206722,-19.350034838282337,30.0,-166.71227265308104,-166.71227265308104,5699.072119893266,559.8362977342983,-4036.5996966982525,4.383480365888757,-0.841161165736891,6.076401600274427,7.539569525688698,20.9704209382209,116.43734723754262,624.9908938021961,130.87164292457138,49.2680972670952
13,9,126.3250818933277,52.58561898325955,22 Jun 2025 10:21:09.000000000,27.091281116832533,24.08098116019272,1e-30,778.7843020038468,14.875296641367559,176.38315438760583,8.739849925705487,-179.53259391649658,-15.124703358632441,30.0,-161.50785774623824,-161.50785774623824,5806.582343533592,538.6072735262444,-3883.2449960373124,4.216912345479225,-0.8570650530595545,6.191366630958568,7.539889322369284,19.435458283636837,116.09265042311222,624.8355782511422,113.54701366872352,57.3809897716854
14,9,105.06525888584292,60.166233866304076,22 Jun 2025 10:21:34.000000000,30.96044893297494,27.950148976335136,1e-30,720.2638677096132,18.065953256472444,175.7046431865683,9.76303408522503,-171.90448327220545,-11.934046743527558,30.0,-157.63868993009584,-157.63868993009584,5909.890065684543,516.988290845087,-3727.0712158800866,4.04725876321576,-0.872352165804193,6.301860239346477,7.540208503341673,17.899928856216086,115.75242107670243,624.7022219191404,85.15759954876573,62.11641640521122
15,9,73.13615969436766,62.6231180920623,22 Jun 2025 10:21:59.000000000,31.417350217847794,28.40705026120798,1e-30,704.8369898592905,18.33479572129574,175.51658436651874,9.724311717441028,-165.3590363117787,-11.665204278704259,30.0,-157.18178864522298,-157.18178864522298,6008.9197417507485,494.9948907740479,-3568.1909640077506,3.8746413629607988,-0.8870109979342308,6.407800332890233,7.540526460944962,16.363886756245567,115.41620991589618,624.5915723882586,53.79828227745565,59.71728630237055
16,9,44.24823726206248,57.749019434344085,22 Jun 2025 10:22:24.000000000,30.481551998182045,27.471252041542233,1e-30,735.2520118441857,17.76594817643568,175.88353504132442,8.63194385118071,-161.015662021988,-12.234051823564322,30.0,-158.11758686488875,-158.11758686488875,6103.598809364615,472.6429175363839,-3406.7189819020655,3.699184317854153,-0.9010302341038775,6.509107961821088,7.540842562928234,14.827385132913694,115.08359381493561,624.5043141796803,32.612114794526526,52.24408182129632
17,9,26.85144499379009,49.43752930894485,22 Jun 2025 10:22:49.000000000,34.18566750150751,31.175367544867697,1e-30,806.335415582196,22.27165395222565,176.68512531378892,7.079794602014087,-158.81126794355697,-7.728346047774352,30.0,-154.41347136156327,-154.41347136156327,6193.857740137448,449.94849890048636,-3242.772117310726,3.5210142082966356,-0.9143990615463237,6.6057073818651,7.541156192097513,13.290476343513461,114.75417252309008,624.4410663993851,20.499718438361864,43.85315494234283
18,9,16.952909339757134,41.17518521442359,22 Jun 2025 10:23:14.000000000,37.21046703518279,34.200167078542975,1e-30,908.5621148264723,26.33323125629839,177.7219030841864,5.607926651373087,-158.13184857885983,-3.6667687437016125,30.0,-151.388671827888,-151.388671827888,6279.630156450033,426.92803947073327,-3076.469173535785,3.340259870024441,-0.9271073936963424,6.69752618934825,7.54146677880025,11.753212088067267,114.42756570004686,624.4023805793756,13.251645688791063,36.36510982132091
19,9,10.8859181702869,34.07634179772978,22 Jun 2025 10:23:39.000000000,39.37834425508255,36.36804429844274,1e-30,1032.6746072222816,29.613285965656566,178.8340805736448,4.426998085624379,-158.4039886986621,-0.38671403434343604,30.0,-149.22079460798824,-149.22079460798824,6360.85294699834,403.5981842868851,-2907.9307250598167,3.1570521920254,-0.9391458084641923,6.7844954530146575,7.541773792994909,10.215643521622694,114.10341021992838,624.3887387220822,8.55209403590313,30.114924760933523
