,Access Number,Azimuth,Elevation,Time,C/No,Eb/No,BER,Range,EIRP,Free Space Loss,Xmtr Elevation,Xmtr Azimuth,Xmtr Gain,Xmtr Power,Rcvd. Iso. Power,Carrier Power at Rcvr Input,x,y,z,xVel,yVel,zVel,RelSpeed,Antenna Azimuth,Antenna Elevation
12,9,163.71224467001994,1.83261339586689,22 Jun 2025 10:15:32.000000000,31.137129622787235,28.126829666147422,1e-30,2733.529239295291,29.8272758445163,187.28928508479984,0.9994885061177748,-89.48318255647936,-0.17272415548370268,30.0,-157.46200924028355,-157.46200924028355,4138.162813305039,776.3594126086114,-5600.5661838679525,6.080743041552916,-0.6106605437377156,4.409325619226247,7.535946831914168,164.71224467001994,1.8326133958668753
13,9,163.68990496260778,1.8984872830552006,22 Jun 2025 10:15:33.000000000,31.002848355290745,27.992548398650932,1e-30,2726.6767716869513,29.67119327189604,187.2674837796761,0.9994510770300681,-89.46381763035788,-0.3288067281039592,30.0,-157.59629050778005,-157.59629050778005,4144.241035757347,775.7483052335207,-5596.153701600945,6.075958539821288,-0.6115571648275724,4.415811164259948,7.535957973733796,164.68990496260778,1.8984872830552129
14,9,163.66746928199262,1.9645356818590107,22 Jun 2025 10:15:34.000000000,30.859603643388326,27.849303686748513,1e-30,2719.824751472531,29.506093825343843,187.2456290450263,0.999412222376258,-89.44434529775604,-0.493906174656159,30.0,-157.73953521968247,-157.73953521968247,4150.314469700492,775.1363046428683,-5591.73473646832,6.071166984422134,-0.6124530813658432,4.422291640088937,7.535969126768791,164.66746928199262,1.9645356818590154
15,9,163.64493694593855,2.030759907970624,22 Jun 2025 10:15:35.000000000,30.706873301769555,27.696573345129742,1e-30,2712.973188276437,29.33145508441383,187.22372064571505,0.9993719308670929,-89.42476460275672,-0.6685449155861717,30.0,-157.89226556130123,-157.89226556130123,4156.383109219659,774.523405467656,-5587.309293541847,6.066368379863564,-0.613348301156279,4.428767039181215,7.535980290982569,164.64493694593855,2.030759907970616
16,9,163.62230708490844,2.0971612570115954,22 Jun 2025 10:15:36.000000000,30.544080657277874,27.53378070063806,1e-30,2706.1220951799028,29.146700150230483,187.2017583560234,0.9993301910937288,-89.40507458061377,-0.853299849769517,30.0,-158.05505820579293,-158.05505820579293,4162.446946698016,773.909611442592,-5582.877377904444,6.061562732009019,-0.6142428187362168,4.435237353995545,7.5359914663385235,164.62230708490844,2.097161257011583
17,9,163.5995788196273,2.1637410371893675,22 Jun 2025 10:15:37.000000000,30.37058701374187,27.360287057102056,1e-30,2699.2714853528755,28.951190099606606,187.17974194893554,0.9992869915093044,-89.38527425452611,-1.0488099003933935,30.0,-158.22855184932894,-158.22855184932894,4168.505974541447,773.2949263188161,-5578.438994635303,6.056750046720541,-0.6151366286611197,4.4417025770125145,7.536002652800055,164.5995788196273,2.1637410371893497
18,9,163.57675144316653,2.230500602020815,22 Jun 2025 10:15:38.000000000,30.18568272886018,27.175382772220367,1e-30,2692.421368734845,28.74421505120923,187.15767118541982,0.9992423204035747,-89.36536263381332,-1.2557849487907675,30.0,-158.4134561342106,-158.4134561342106,4174.560186828104,772.6793447066512,-5573.994148843788,6.051930328543438,-0.6160297387119786,4.448162700694659,7.536013850330467,164.57675144316653,2.230500602020829
19,9,163.5538240585597,2.2974412856082203,22 Jun 2025 10:15:39.000000000,29.988576907428396,26.978276950788583,1e-30,2685.5717586760425,28.524983880118203,187.13554583576058,0.9991961659424652,-89.34533871766905,-1.4750161198817997,30.0,-158.6105619556424,-158.6105619556424,4180.609575994578,772.0628703534514,-5569.542845609092,6.047103583339349,-0.6169221434443384,4.454617717555306,7.536025058893129,164.5538240585597,2.297441285608218
20,9,163.53079582028286,2.3645644452928747,22 Jun 2025 10:15:40.000000000,29.778384801830295,26.768084845190486,1e-30,2678.7226675852403,28.292611604329725,187.11336566557023,0.9991485161412397,-89.32520149252396,-1.7073883956702747,30.0,-158.82075406124048,-158.82075406124048,4186.654134981074,771.4455039683504,-5565.0850900680625,6.042269816583015,-0.6178138418177311,4.461067620043642,7.536036278451264,164.53079582028286,2.3645644452928956
21,9,163.50766581188708,2.431871441127972,22 Jun 2025 10:15:41.000000000,29.554112833949425,26.543812877309612,1e-30,2671.87410903505,28.04610441345766,187.09113044257901,0.9990993588730406,-89.3049499325263,-1.9538955865423426,30.0,-159.04502602912137,-159.04502602912137,4192.693856232201,770.8272493231128,-5560.620887318662,6.037429034159843,-0.6187048284063847,4.467512400678472,7.536047508968182,164.50766581188708,2.431871441127968
22,9,163.48443329175717,2.499363679460058,22 Jun 2025 10:15:42.000000000,29.314640285306197,26.304340328666385,1e-30,2665.0260933719574,27.784341344595596,187.06883992236018,0.9990486818376649,-89.28458299814335,-2.2156586554044018,30.0,-159.2844985777646,-159.2844985777646,4198.728733844372,770.2081009969961,-5556.150242500321,6.032581240642913,-0.6195951109660709,4.473952051944367,7.536058750407076,164.48443329175717,2.4993636794600746
23,9,163.46109732498005,2.567042547016628,22 Jun 2025 10:15:43.000000000,29.05869735166444,26.048397395024626,1e-30,2658.1786344044576,27.50605235862668,187.04649387003303,0.9989964726062094,-89.26409963822117,-2.493947641373323,30.0,-159.54044151140636,-159.54044151140636,4204.758760252277,769.5880627614288,-5551.67316074104,6.027726441949745,-0.6204846840661218,4.480386566349355,7.536070002731167,164.46109732498005,2.567042547016642
24,9,163.43765696609063,2.634909443945261,22 Jun 2025 10:15:44.000000000,28.784837813474844,25.774537856835032,1e-30,2651.331746062029,27.20979099985072,187.02409204944666,0.9989427185964026,-89.24349878833677,-2.7902090001492796,30.0,-159.81430104959594,-159.81430104959594,4210.783927892788,768.9671384068922,-5547.189647180097,6.022864644012732,-0.621373542290163,4.486815936401529,7.536081265903624,164.43765696609063,2.63490944394523
