,Access Number,Azimuth,Elevation,Range,Time,C/No,Eb/No,BER,EIRP,Free Space Loss,Xmtr Elevation,Xmtr Azimuth,Xmtr Gain,Xmtr Power,Rcvd. Iso. Power,Carrier Power at Rcvr Input,x,y,z,xVel,yVel,zVel,RelSpeed,Lat,Lon,Alt,Modulation
705,14,343.17616275314344,5.772016459706621,2323.509013082218,23 Jun 2025 10:44:41.000000000,98.91754574794861,95.9072457913088,1e-30,96.19610472533579,185.87769784045793,1.909095910416423e-06,163.81427759515688,66.19610472533577,30.0,-89.68159311512217,-89.68159311512217,6821.17186236873,335.64362021749986,-1557.8379133497072,1.7059939277810459,-0.9789570302239791,7.282968292058522,7.543898149616058,-12.783538731718876,-69.88628986635617,627.7507029087037,BPSK
706,14,343.185641830517,5.692025839922121,2330.4023689571395,23 Jun 2025 10:44:42.000000000,98.89181471560279,95.88151475896298,1e-30,96.19610472533579,185.90342887280374,1.909095910416423e-06,163.82496255991498,66.19610472533577,30.0,-89.70732414746799,-89.70732414746799,6822.873938323373,334.6644537455651,-1550.5538656313595,1.6980742049620827,-0.9793461139270206,7.284777379419753,7.543908554862478,-12.722108764743462,-69.89936161314213,627.7355593967368,BPSK
707,14,343.19505631548384,5.612322123208548,2337.2967954893647,23 Jun 2025 10:44:43.000000000,98.86615570484983,95.85585574821002,1e-30,96.19610472533579,185.92908788355672,1.7075472925031882e-06,167.4857288913497,66.19610472533577,30.0,-89.73298315822095,-89.73298315822095,6824.568093374987,333.684898746914,-1543.2680130048384,1.690152468251731,-0.9797340627393406,7.286577996452887,7.543918948266909,-12.660678023242582,-69.91242911879922,627.7204515329884,BPSK
708,14,343.20440673570926,5.532902815669656,2344.1922762619047,23 Jun 2025 10:44:44.000000000,98.8405683639902,95.83026840735039,1e-30,96.19610472533579,185.95467522441638,1.909095910416423e-06,163.84668838618438,66.19610472533577,30.0,-89.75857049908059,-89.75857049908059,6826.254325756848,332.70495137654194,-1535.9803639421614,1.6822287261918047,-0.9801208774080588,7.2883701409546315,7.543929329806522,-12.599246510509222,-69.925492406542,627.705379364784,BPSK
709,14,343.21369396646116,5.453765489796528,2351.088791637593,23 Jun 2025 10:44:45.000000000,98.81505235604409,95.80475239940428,1e-30,96.19610472533579,185.98019123236244,1.909095910416423e-06,163.85755968555338,66.19610472533577,30.0,-89.78408650702669,-89.78408650702669,6827.932632989946,331.72462272548137,-1528.690926885438,1.6743029894375507,-0.9805065550371109,7.290153810733853,7.543939699458604,-12.537814229731413,-69.93855149955986,627.6903429392269,BPSK
710,14,343.2229185186382,5.374907707021316,2357.986325514769,23 Jun 2025 10:44:46.000000000,98.78960733366206,95.77930737702225,1e-30,96.19610472533579,186.0056362547445,1.7075472925031882e-06,167.52742754084366,66.19610472533577,30.0,-89.80953152940873,-89.80953152940873,6829.603013316871,330.74390895612305,-1521.399710354151,1.6663752665831153,-0.9808910963799224,7.291929003596831,7.543950057200406,-12.476381184200223,-69.95160642098666,627.6753423032816,BPSK
711,14,343.23208089670527,5.296327055177622,2364.8848620264735,23 Jun 2025 10:44:47.000000000,98.76423295141046,95.75393299477065,1e-30,96.19610472533579,186.0310106369961,1.7075472925031882e-06,163.87940680298945,66.19610472533577,30.0,-89.83490591166031,-89.83490591166031,6831.265465002191,329.7628062179033,-1514.1067228022246,1.6584455661505786,-0.981274502171585,7.293695717376468,7.543960403009313,-12.41494737689462,-69.96465719396069,627.6603775036768,BPSK
712,14,343.24118194999727,5.218021187505372,2371.7843820307203,23 Jun 2025 10:44:48.000000000,98.73892887860788,95.72862892196807,1e-30,96.19610472533579,186.0563147097987,1.909095910416423e-06,163.89032651417915,66.19610472533577,30.0,-89.86020998446291,-89.86020998446291,6832.919985591866,328.78132561435007,-1506.8119727091205,1.6505138988382126,-0.9816567695531792,7.295453949904283,7.5439707368627635,-12.353512811103714,-69.97770384153577,627.6454485870271,BPSK
713,14,343.25022216699006,5.139987744992149,2378.6848699609714,23 Jun 2025 10:44:49.000000000,98.71369477410678,95.70339481746697,1e-30,96.19610472533579,186.0815488142998,1.909095910416423e-06,163.9014275237607,66.19610472533577,30.0,-89.88544408896402,-89.88544408896402,6834.5665733598635,327.79946330271656,-1499.5154685761904,1.642580273220448,-0.9820378992660177,7.297203699022876,7.543981058738212,-12.292077490064079,-69.99074638673328,627.6305555997507,BPSK
714,14,343.2592021464696,5.06222440704924,2385.586309304344,23 Jun 2025 10:44:50.000000000,98.68853030291936,95.67823034627955,1e-30,96.19610472533579,186.10671328548722,1.909095910416423e-06,167.58309407498152,66.19610472533577,30.0,-89.91060856015145,-89.91060856015145,6836.20522635522,326.8172204192302,-1492.2172188757488,1.6346446985562695,-0.9824178908524845,7.298944962590526,7.543991368613221,-12.2306414169076,-70.00378485255018,627.6156985880837,BPSK
715,14,343.26812236350014,4.9847288660801,2392.488684839929,23 Jun 2025 10:44:51.000000000,98.6634351280129,95.6531351713731,1e-30,96.19610472533579,186.13180846039367,1.909095910416423e-06,163.92328682136792,66.19610472533577,30.0,-89.9357037350579,-89.9357037350579,6837.8359428710855,325.83459311289107,-1484.917232094963,1.6267071834037043,-0.9827967450287751,7.300677738474459,7.544001666465412,-12.169204594765185,-70.01681926194425,627.6008775980803,BPSK
716,14,343.27698363478436,4.907498877573443,2399.39197809603,23 Jun 2025 10:44:52.000000000,98.6384089267944,95.62810897015459,1e-30,96.19610472533579,186.15683466161215,1.909095910416423e-06,163.93455639173067,66.19610472533577,30.0,-89.96072993627638,-89.96072993627638,6839.458720497557,324.8515924992066,-1477.615516715699,1.6187677384670927,-0.9831744589876168,7.30240202454797,7.544011952272461,-12.107767026922662,-70.02984963781192,627.5860926756607,BPSK
717,14,343.28578642043124,4.830532184013241,2406.296174162265,23 Jun 2025 10:44:53.000000000,98.61345136632431,95.6031514096845,1e-30,96.19610472533579,186.18179222208224,1.4787793334710982e-06,167.62476218733931,66.19610472533577,30.0,-89.98568749674646,-89.98568749674646,6841.073557544357,323.8682147303051,-1470.3120812417358,1.610826372323223,-0.9835510334531737,7.30411781869553,7.5440222260120855,-12.046328716509299,-70.0428760030331,627.5713438665408,BPSK
718,14,343.2945311747732,4.753826552401159,2413.2012583006754,23 Jun 2025 10:44:54.000000000,98.58856211567223,95.57826215903242,1e-30,96.19610472533579,186.20668147273432,1.4787793334710982e-06,163.95674337774918,66.19610472533577,30.0,-90.01057674739855,-90.01057674739855,6842.680452331636,322.88445595331797,-1463.0069341604114,1.602883093530417,-0.9839264691283576,7.305825118816082,7.54403248766209,-11.98488966675718,-70.05589838043488,627.5566312162538,BPSK
719,14,343.3032186911666,4.677379811643832,2420.107212497492,23 Jun 2025 10:44:55.000000000,98.56374085827403,95.55344090163422,1e-30,96.19610472533579,186.23150273013255,1.909095910416423e-06,163.96787487625926,66.19610472533577,30.0,-90.03539800479678,-90.03539800479678,6844.279402477655,321.90032729335576,-1455.700083978461,1.594937912822269,-0.9843007632440218,7.307523922808892,7.544042737200319,-11.923449880586704,-70.06891679285002,627.5419547701206,BPSK
720,14,343.3118494096981,4.601189776745227,2427.01402232353,23 Jun 2025 10:44:56.000000000,98.5389872671849,95.52868731054508,1e-30,96.19610472533579,186.25625632122166,1.4787793334710982e-06,167.66644357250024,66.19610472533577,30.0,-90.06015159588588,-90.06015159588588,6845.870406321877,320.9158248991728,-1448.3915391874477,1.5869908387624139,-0.9846739165116544,7.309214228593101,7.544052974604703,-11.86200936153952,-70.08193126298453,627.5273145734119,BPSK
721,14,343.32042376487465,4.5252542864561,2433.9216734989373,23 Jun 2025 10:44:57.000000000,98.51430101749568,95.50400106085587,1e-30,96.19610472533579,186.2809425709109,1.909095910416423e-06,163.9903950794468,66.19610472533577,30.0,-90.08483784557511,-90.08483784557511,6847.453462210208,319.93094491465774,-1441.08130828097,1.5790418799157684,-0.9850459296210669,7.310896034097936,7.544063199853238,-11.800568112689781,-70.09494181357351,627.5127106711078,BPSK
722,14,343.32894252786855,4.4495712398733485,2440.83014848244,23 Jun 2025 10:44:58.000000000,98.4896817984509,95.47938184181109,1e-30,96.19610472533579,186.30556178995565,1.909095910416423e-06,164.00162256178731,66.19610472533577,30.0,-90.10945706461987,-90.10945706461987,6849.028567797031,318.9456984719891,-1433.7693997534936,1.571091047005148,-0.9854167998425702,7.3125693372572185,7.544073412923961,-11.739126137007053,-70.10794846732955,627.4981431080107,BPSK
723,14,343.3374061194649,4.374138522263145,2447.739433256092,23 Jun 2025 10:44:59.000000000,98.46512928918258,95.45482933254277,1e-30,96.19610472533579,186.33011429922396,1.4787793334710982e-06,164.01285473609704,66.19610472533577,30.0,-90.13400957388819,-90.13400957388819,6850.595721439606,317.9600817212153,-1426.4558221398197,1.5631383486409223,-0.9857865278727865,7.314234136011926,7.5440836137949505,-11.677683437927014,-70.12095124686084,627.4836119288352,BPSK
724,14,343.3458150688521,4.298954053249556,2454.6495128723186,23 Jun 2025 10:45:00.000000000,98.44064317461869,95.43034321797887,1e-30,96.19610472533579,186.3546004137879,1.4787793334710982e-06,167.72216863186395,66.19610472533577,30.0,-90.15849568845212,-90.15849568845212,6852.154921284912,316.9740958012581,-1419.1405839084543,1.5551837940806899,-0.9861551132684281,7.315890428326816,7.544093802444439,-11.616240018521559,-70.13395017479066,627.4691171780447,BPSK
725,14,343.3541697854591,4.224015763261543,2461.5603736043236,23 Jun 2025 10:45:01.000000000,98.41622313782298,95.40592318118317,1e-30,96.19610472533579,186.37902045058357,1.909095910416423e-06,164.03581561819195,66.19610472533577,30.0,-90.18291572524781,-90.18291572524781,6853.706165706548,315.98773685675695,-1411.8236935920975,1.5472273919317177,-0.9865225567000733,7.3175382121645,7.544103978850603,-11.55479588191331,-70.1469452736983,627.4546588999384,BPSK
726,14,343.3624710122318,4.14932164101181,2468.4719984899457,23 Jun 2025 10:45:02.000000000,98.39186887571023,95.38156891907042,1e-30,96.19610472533579,186.40337471269632,1.909095910416423e-06,164.04713529429935,66.19610472533577,30.0,-90.20726998736055,-90.20726998736055,6855.249452401875,315.00101603019533,-1404.5051596934095,1.5392691529288076,-0.9868888554899694,7.319177485499304,7.544114142991766,-11.493351031380177,-70.15993656610385,627.4402371386601,BPSK
727,14,343.37071914588023,4.074869660466918,2475.384374105526,23 Jun 2025 10:45:03.000000000,98.36758007509269,95.35728011845288,1e-30,96.19610472533579,186.42766351331386,1.909095910416423e-06,167.76391398066477,66.19610472533577,30.0,-90.23155878797809,-90.23155878797809,6856.784779769097,314.01392946579017,-1397.1849907244305,1.531309085657661,-0.9872540103182356,7.320808246319706,7.544124294846271,-11.43190546993981,-70.17292407452868,627.4258519381258,BPSK
728,14,343.37891457820393,4.0006578172672596,2482.2974871625747,23 Jun 2025 10:45:04.000000000,98.3433564247384,95.33305646809859,1e-30,96.19610472533579,186.45188716366818,1.4787793334710982e-06,164.06989941029133,66.19610472533577,30.0,-90.25578243833237,-90.25578243833237,6858.312146212767,313.0264733043619,-1389.8631951992206,1.5233471987054472,-0.9876180218429785,7.3224304926243375,7.544134434392554,-11.370459201023916,-70.18590782139819,627.4115033421926,BPSK
