,Access Number,Azimuth,Elevation,Range,Time,C/No,Eb/No,BER,EIRP,Free Space Loss,Xmtr Elevation,Xmtr Azimuth,Xmtr Gain,Xmtr Power,x,y,z,xVel,yVel,zVel,RelSpeed,Lat,Lon,Alt,Modulation
176,3,237.4875839432972,9.559610352317753,2046.387513391229,20 Jun 2025 22:58:30.000000000,100.02067543413517,97.01037547749536,1e-30,96.19610472533579,184.77456815427138,0.0,0.0,66.19610472533577,30.0,-5391.265102206795,830.8332936596299,-4396.4342162064795,4.803195483564406,0.603097062768949,-5.7795570351623375,7.539077691810087,-39.178275593757036,-82.48158623473056,636.4018291949634,BPSK
177,3,235.75185117210685,9.019169149451116,2086.5019030689095,20 Jun 2025 22:58:40.000000000,99.8520572743553,96.84175731771549,1e-30,96.19610472533579,184.94318631405125,8.537736462515939e-07,-107.51554975537141,66.19610472533577,30.0,-5342.921349575407,836.8161131404967,-4453.974402427998,4.865322267461101,0.5934453626722138,-5.728194516270434,7.538948904254536,-39.785757419847506,-82.66472000742645,636.645480199048,BPSK
178,3,234.08673670014946,8.472468697600348,2128.1805799592357,20 Jun 2025 22:58:50.000000000,99.68026346046416,96.66996350382435,1e-30,96.19610472533579,185.11498012794237,1.2074182697257333e-06,-107.40030182858948,66.19610472533577,30.0,-5293.959126713521,842.7020765450767,-4510.997679906741,4.9268810288466875,0.5837257197333695,-5.676171236723304,7.538820351811854,-40.39297498467702,-82.85035249327343,636.8893545326251,BPSK
179,3,232.49008903314206,7.921475427652855,2171.3277468684387,20 Jun 2025 22:59:00.000000000,99.50592533472647,96.49562537808666,1e-30,96.19610472533579,185.28931825368008,1.7075472925031882e-06,-107.73104439032791,66.19610472533577,30.0,-5244.384150664011,848.4905062151502,-4567.497469171462,4.987864729405867,0.5739392739226264,-5.6234933393262665,7.538692073990607,-40.99992118526979,-83.03858287719835,637.1333576595753,BPSK
180,3,230.9595501290728,7.367904302666867,2215.851763875457,20 Jun 2025 22:59:10.000000000,99.32961890595968,96.31931894931986,1e-30,96.19610472533579,185.4656246824469,2.091309789151873e-06,-108.22864544245085,66.19610472533577,30.0,-5194.202207292528,854.180743597129,-4623.467252639225,5.048266401750231,0.564087165213862,-5.570167039925278,7.538564110337536,-41.60658862516389,-83.22951504588335,637.3773948599918,BPSK
181,3,229.49261977038583,6.81323651186358,2261.66531804355,20 Jun 2025 22:59:20.000000000,99.1518662114329,96.14156625479309,1e-30,96.19610472533579,185.64337737697366,2.2588727439225514e-06,-108.80148736210121,66.19610472533577,30.0,-5143.41915299531,859.7721339811106,-4678.900575390396,5.108079148512107,0.5541705479199095,-5.516198626521783,7.5384365004214775,-42.21296959342809,-83.42325788009528,637.6213712721438,BPSK
182,3,228.0867103622717,6.25873879105582,2308.6855209305104,20 Jun 2025 22:59:30.000000000,98.97313739266478,95.96283743602497,1e-30,96.19610472533579,185.8221061957418,2.5613209387547825e-06,-110.49313589337486,66.19610472533577,30.0,-5092.040912142066,865.2640380546303,-4733.791045874257,5.167296144300624,0.5441905796409116,-5.461594458454085,7.5383092838175845,-42.819056042347974,-83.6199255685799,637.8651919345498,BPSK
183,3,226.73919238356893,5.705483676830482,2356.8339191839186,20 Jun 2025 22:59:40.000000000,98.79385338075942,95.7835534241196,1e-30,96.19610472533579,186.00139020764715,2.831646840510159e-06,-111.02556669975958,66.19610472533577,30.0,-5040.073476380503,870.6558317786728,-4788.132336565627,5.225910636307909,0.5341484209044937,-5.406360965608836,7.53818250009177,-43.424839562514045,-83.81963794508823,638.1087618277921,BPSK
184,3,225.44743139110494,5.154369785912363,2406.036437907934,20 Jun 2025 22:59:50.000000000,98.61438897418486,95.60408901754505,1e-30,96.19610472533579,186.1808546142217,2.6998693283819173e-06,-111.58987669409898,66.19610472533577,30.0,-4987.5229051085735,875.9468990132414,-4841.918184720935,5.283915944258649,0.5240452425168081,-5.350504647515231,7.538056188784835,-44.03031135746456,-84.02252085116399,638.351985916731,BPSK
185,3,224.2088176812434,4.606141404227692,2456.223279425518,20 Jun 2025 23:00:00.000000000,98.43507611408045,95.42477615744063,1e-30,96.19610472533579,186.3601674743261,2.957558666942197e-06,-112.17398901891997,66.19610472533577,30.0,-4934.395325417511,881.1366281784717,-4895.142393047785,5.341305460724836,0.5138822295366982,-5.294032072512617,7.537930389396999,-44.635462215256126,-84.22870652632052,638.5947691924123,BPSK
