,Access Number,Azimuth,Elevation,Time,C/No,Eb/No,BER,Range,EIRP,Free Space Loss,Xmtr Elevation,Xmtr Azimuth,Xmtr Gain,Xmtr Power,Rcvd. Iso. Power,Carrier Power at Rcvr Input,x,y,z,xVel,yVel,zVel,RelSpeed
207,9,156.7634781583918,18.46772339859801,22 Jun 2025 10:18:31.000000000,82.7666476860411,79.7563477294013,1e-30,1532.3278168147772,76.42935314446811,182.2618443214978,0.09370000000088904,-172.21744150518106,46.4293531444681,30.0,-105.83249117702968,-105.83249117702968,5143.4960437634945,653.3935365080011,-4712.524582742328,5.117352117960513,-0.7590576979431476,5.482632362573283,7.538084565135735
208,9,156.69259417077794,18.607696521097832,22 Jun 2025 10:18:32.000000000,82.80295241349233,79.79265245685252,1e-30,1525.9364574227368,76.42935314599681,182.22553959557527,0.09370000000477874,-172.13511511449707,46.429353145996814,30.0,-105.79618644957846,-105.79618644957846,5148.610316213515,652.6341056583434,-4707.039322253435,5.111398573159169,-0.7598131959806079,5.488095899231823,7.538097111714933
209,9,156.6210247695488,18.74855388910331,22 Jun 2025 10:18:33.000000000,82.83936997192235,79.82907001528254,1e-30,1519.5520166080366,76.42935314446811,182.18912203561655,0.09370000000088904,-172.0518454855189,46.4293531444681,30.0,-105.75976889114843,-105.75976889114843,5153.718632366523,651.8739197628162,-4701.548601389459,5.105439068099476,-0.7605678210201602,5.49355311231949,7.538109662662315
210,9,156.54875954130404,18.890305050830293,22 Jun 2025 10:18:34.000000000,82.87590059985683,79.86560064321702,1e-30,1513.1745901949914,76.42935314446811,182.15259140768205,0.09370000000088904,-171.96761725737062,46.4293531444681,30.0,-105.72323826321394,-105.72323826321394,5158.820986261281,651.1129796954908,-4696.0524264814585,5.099473609580756,-0.7613215721773006,5.4990039954077545,7.538122217938865
211,9,156.47578786553646,19.032959666023814,22 Jun 2025 10:18:35.000000000,82.91254452178238,79.90224456514257,1e-30,1506.8042754873854,76.42935314599681,182.1159474872852,0.09370000000477874,-171.8824147619284,46.429353145996814,30.0,-105.6865943412884,-105.6865943412884,5163.91737194767,650.351286330774,-4690.550803862294,5.093502204404513,-0.7620744485690857,5.504448542079746,7.538134777505596
212,9,156.40209890939403,19.176527507074788,22 Jun 2025 10:18:36.000000000,82.94930194781719,79.93900199117736,1e-30,1500.4411712852943,76.42935314446811,182.07919005972172,0.09370000000088904,-171.79622201658196,46.4293531444681,30.0,-105.64983691525362,-105.64983691525362,5169.00778349514,649.58884054286,-4685.043739857296,5.087524859364453,-0.7628264493146499,5.509886745939357,7.538147341323562
213,9,156.32768148566953,19.32101842441662,22 Jun 2025 10:18:37.000000000,82.98617307961223,79.97587312297243,1e-30,1494.0853794584227,76.42935314599681,182.04231892945535,0.09370000000477874,-171.7090226783794,46.429353145996814,30.0,-105.61296578345855,-105.61296578345855,5174.0922144854385,648.825646989642,-4679.531240820374,5.081541581843348,-0.7635775698372606,5.515318600573019,7.538159909353761
214,9,156.2525245958991,19.466442486124134,22 Jun 2025 10:18:38.000000000,83.02315812370986,80.01285816707005,1e-30,1487.7369989169754,76.42935314599681,182.00533388535774,0.09370000000477874,-171.62080019265298,46.429353145996814,30.0,-105.57598073936093,-105.57598073936093,5179.17065994004,648.0616989894652,-4674.013313101025,5.075552377546012,-0.7643278166519154,5.520744099592525,7.53817248155722
215,9,156.17661660256024,19.612809772127353,22 Jun 2025 10:18:39.000000000,83.0602572524651,80.0499572958253,1e-30,1481.3961346749254,76.42935314293938,181.96823475354506,0.09369999999699934,-171.53153755121562,46.42935314293938,30.0,-105.5388816106057,-105.5388816106057,5184.243113466568,647.2970011970635,-4668.489963051989,5.069557253853954,-0.7650771851807323,5.526163236612155,7.538185057894974
216,9,156.0999457709153,19.760130512287155,22 Jun 2025 10:18:40.000000000,83.09747064457754,80.08717068793773,1e-30,1475.0628918642537,76.42935314446811,181.93102136296136,0.09370000000088904,-171.44121744020052,46.4293531444681,30.0,-105.50166821849324,-105.50166821849324,5189.309569157451,646.5315544903,-4662.961197028733,5.063556217594479,-0.7658256745467265,5.531576005259313,7.538197638328093
