,Access Number,Azimuth,Elevation,Time,C/No,Eb/No,BER,Range,EIRP,Free Space Loss,Xmtr Elevation,Xmtr Azimuth,Xmtr Gain,Xmtr Power,Rcvd. Iso. Power,Carrier Power at Rcvr Input,x,y,z,xVel,yVel,zVel,RelSpeed,Antenna Azimuth,Antenna Elevation
10,9,164.19218753664555,0.6789164772028784,22 Jun 2025 10:15:30.000000000,48.23450557908203,45.22420562244222,1e-30,2856.5537988941915,47.3070254819656,187.67165876595436,1.167861335735925,-150.63445067936166,17.3070254819656,30.0,-140.36463328398875,-140.36463328398875,4026.7103849224645,787.3369870632379,-5679.733378089316,6.166582584163965,-0.5942013915230462,4.290414005665844,7.5357460414358375,164.75663950774998,1.7013840743233903
11,9,164.17181056763647,0.7418865316612213,22 Jun 2025 10:15:31.000000000,48.02089266946246,45.01059271282265,1e-30,2849.6929820913697,47.072525874458854,187.6507720680672,1.169241578377575,-150.75279617251724,17.072525874458858,30.0,-140.57824619360832,-140.57824619360832,4032.8745099905464,786.7423322202003,-5675.439759361446,6.161927402638226,-0.5951105873365138,4.296990484781181,7.535756972782754,164.73448925686282,1.7669127495262797
12,9,164.15135243397984,0.805010029913887,22 Jun 2025 10:15:32.000000000,47.75887217675156,44.74857222011175,1e-30,2842.8324063841897,46.78956907378942,187.62983576010865,1.1706381532765628,-150.8717429382813,16.789569073789426,30.0,-140.84026668631924,-140.84026668631924,4039.0339758149503,786.1467714954896,-5671.13956676189,6.157265070506432,-0.5960190976073654,4.303562032863811,7.535767916005519,164.71224467001994,1.8326133958668753
13,9,164.13081259570353,0.868288087517034,22 Jun 2025 10:15:33.000000000,47.44381157907376,44.43351162243395,1e-30,2835.9720798266712,46.45352234479047,187.60884962878748,1.172051208015542,-150.99129657222394,16.45352234479047,30.0,-141.15532728399702,-141.15532728399702,4045.188776384386,785.5502996646323,-5666.832805235381,6.1525955921613695,-0.5969269302495112,4.31012864226755,7.5357788710680556,164.68990496260778,1.8984872830552129
14,9,164.1101903393469,0.9317218003689791,22 Jun 2025 10:15:34.000000000,47.06997936805196,44.05967941141215,1e-30,2829.1120137807657,46.05865397447254,187.58781346949135,1.1734809613765016,-151.1114584696585,16.058653974472545,30.0,-141.5291594950188,-141.5291594950188,4051.3389039923827,784.9529203606899,-5662.519479715783,6.147918973291473,-0.5978340797261604,4.316690305369995,7.53578983793435,164.66746928199262,1.9645356818590154
15,9,164.089484943907,0.9953122743120859,22 Jun 2025 10:15:35.000000000,46.630183281149115,43.6198833245093,1e-30,2822.252219716514,45.597771494626954,187.56672707654866,1.1749277491394752,-151.23222301935803,15.59777149462695,30.0,-141.96895558192168,-141.96895558192168,4057.484350918837,784.3546372370001,-5658.199595159129,6.143235219611792,-0.5987405405129437,4.3232470145318755,7.535800816568286,164.64493694593855,2.030759907970616
16,9,164.06869585027457,1.0590606563011213,22 Jun 2025 10:15:36.000000000,46.11539262101832,43.10509266437851,1e-30,2815.3927058921267,45.06184399092489,187.54559023297733,1.1763916896153437,-151.3535980331108,15.061843990924896,30.0,-142.48374624205246,-142.48374624205246,4063.625111191426,783.7554450437558,-5653.87315651484,6.138544335516608,-0.599646320507899,4.329798762150577,7.535811806933767,164.62230708490844,2.097161257011583
17,9,164.04782232390755,1.122968073068533,22 Jun 2025 10:15:37.000000000,45.513936022630475,42.50363606599066,1e-30,2808.5334839507877,44.43919989031307,187.52440273075337,1.177873011135992,-151.47558479746198,14.43919989031307,30.0,-143.0852028404403,-143.0852028404403,4069.7611770898584,783.1553474327429,-5649.54016876151,6.133846326744925,-0.6005514141834507,4.336345540586393,7.535822808994611,164.5995788196273,2.1637410371893497
18,9,164.02686367922198,1.1870356724372266,22 Jun 2025 10:15:38.000000000,44.81040128858833,41.80010133194852,1e-30,2801.6745644975726,43.71442678272928,187.50316435721174,1.179372023127835,-151.59817967101796,13.714426782729275,30.0,-143.78873757448244,-143.78873757448244,4075.8925415025897,782.5543450901694,-5645.200636864808,6.1291411985844135,-0.6014558204912788,4.3428873422393375,7.535833822714661,164.57675144316653,2.230500602020829
19,9,164.00581916625558,1.251264602698191,22 Jun 2025 10:15:39.000000000,43.98396609538463,40.97366613874482,1e-30,2794.8159593156342,42.86670213419562,187.48187490188178,1.1808889603567019,-151.72138378092916,12.866702134195622,30.0,-144.61517276768615,-144.61517276768615,4082.0191967530727,781.9524416897601,-5640.85456579661,6.124428956770285,-0.602359533926232,4.349424159513506,7.535844848057712,164.5538240585597,2.297441285608218
20,9,163.98468819948104,1.3156560536757038,22 Jun 2025 10:15:40.000000000,43.00552353582104,39.99522357918123,1e-30,2787.9576770204458,41.866918815729775,187.46053414297955,1.1824239914479424,-151.8452025245903,11.86691881572978,30.0,-145.59361532724975,-145.59361532724975,4088.1411368557046,781.3496319525829,-5636.501960558697,6.11970960574857,-0.6032625623581436,4.355955984794431,7.535855884987495,164.53079582028286,2.3645644452928956
21,9,163.96347001463744,1.3802111955726848,22 Jun 2025 10:15:41.000000000,41.83246654017373,38.82216658353392,1e-30,2781.0997295707766,40.67246954471067,187.43914186760773,1.1839773575162074,-151.96963699358867,10.672469544710669,30.0,-146.76667232289705,-146.76667232289705,4094.2583541388894,780.7459195508571,-5632.142826141836,6.114983151274507,-0.6041649002786011,4.362482810491387,7.535866933467747,164.50766581188708,2.431871441127968
22,9,163.9421638391157,1.4449312096943587,22 Jun 2025 10:15:42.000000000,40.398731280228105,37.38843132358829,1e-30,2774.242129006447,39.21729027881386,187.41769786165656,1.1855494169558458,-152.09468100131681,9.217290278813861,30.0,-148.20040758284267,-148.20040758284267,4100.370840948545,780.1413081740387,-5627.777167536991,6.110249599106192,-0.6050665421961756,4.369004629029969,7.535877993462202,164.48443329175717,2.4993636794600746
23,9,163.92076906654594,1.509817319452417,22 Jun 2025 10:15:43.000000000,38.59404828879218,35.58374833215237,1e-30,2767.384884207488,37.39111132534277,187.3962018996214,1.1871403105428842,-152.2203422558704,7.3911113253427665,30.0,-150.0050905742786,-150.0050905742786,4106.478591302091,779.535792520799,-5623.404989776136,6.105508953718683,-0.605967495960427,4.3755214328008165,7.535889064934467,164.46109732498005,2.567042547016642
24,9,163.89928490939695,1.5748707289332702,22 Jun 2025 10:15:44.000000000,36.21179632846653,33.201496371826714,1e-30,2760.5280073842523,34.98731123028267,187.37465376488694,1.1887502891910877,-152.34662167538792,4.98731123028267,30.0,-152.38734253460427,-152.38734253460427,4112.581597560728,778.929376278172,-5619.02629786171,6.100761220882074,-0.6068677560780356,4.382033214245772,7.535900147848222,164.43765696609063,2.63490944394523
